ES3636145657471415292161;45.73
ES7100302053091234567895;316.49
ES8478551013190308155822;2511.27
ES3636145657471415292161;903.31
ES0447532119018655382430;2596.45
ES3636145657471415292161;2.67
ES7744856326943449064203;4308.0
ES7100302053091234567895;2119.16
ES9820385778983000760236;1203.57
ES1915209931764206681322;2184.05
ES1659435262029590044995;3039.55
ES8478551013190308155822;199.56
ES1000492352082414205416;40.84
ES3636145657471415292161;1516.59
ES7143362552398206142131;802.09
ES9000246912501234567891;3955.14
ES3651804185014114494870;1864.82
ES6541048338612139135687;705.13
ES9734594238987441140947;955.17
ES1224397529559624705140;225.09
ES1000492352082414205416;1187.25
ES1000492352082414205416;185.53
ES1720852066623456789011;4199.1
ES6621000418401234567891;751.9
ES6222876109410961898583;2988.8
ES5773080423306350913529;3626.79
ES3542481685541769075492;2501.55
ES9166280840164982059855;302.39
ES1000492352082414205416;3649.65
ES2658457036254975525758;2767.43
ES9734594238987441140947;1298.82
ES1659435262029590044995;3005.26
ES5773080423306350913529;31.39
ES7744856326943449064203;1322.49
ES9734594238987441140947;219.57
ES4065919740381556721783;203.39
ES2658457036254975525758;7.72
ES5773080423306350913529;1010.43
ES0447532119018655382430;1600.0
ES0447532119018655382430;334.78
ES4065919740381556721783;2823.82
ES9420805801101234567891;398.67
ES1915209931764206681322;933.19
ES7143362552398206142131;1475.86
ES3542481685541769075492;2551.69
ES6621000418401234567891;300.29
ES8478551013190308155822;1747.2
ES7143362552398206142131;390.72
ES1915209931764206681322;2538.24
ES9166280840164982059855;2320.2
ES6541048338612139135687;257.66
ES4065919740381556721783;2342.46
ES1915209931764206681322;1921.26
ES3636145657471415292161;234.69
ES6222876109410961898583;4079.81
ES1000492352082414205416;433.97
ES1961777240584850916286;1755.16
ES7744856326943449064203;148.75
ES9166280840164982059855;706.62
ES3636145657471415292161;355.17
ES2783097662510123507583;1293.97
ES2658457036254975525758;372.85
ES1659435262029590044995;1276.75
ES9000246912501234567891;197.25
ES9680182384560333326468;1508.95
ES1224397529559624705140;160.11
ES7909335560528303082335;58.27
ES9000246912501234567891;1625.97
ES2783097662510123507583;1928.53
ES7143362552398206142131;3631.91
ES1659435262029590044995;229.73
ES0447532119018655382430;2465.58
ES9734594238987441140947;2026.64
ES6222876109410961898583;1875.27
ES7100302053091234567895;667.9
ES1915209931764206681322;211.94
ES1915209931764206681322;877.14
ES7100302053091234567895;2667.72
ES9166280840164982059855;3471.6
ES9734594238987441140947;361.14
ES7744856326943449064203;16.06
ES1961777240584850916286;286.61
ES6541048338612139135687;1390.09
ES0447532119018655382430;3251.12
ES1224397529559624705140;3089.3
ES7100302053091234567895;748.23
ES5773080423306350913529;213.42
ES1224397529559624705140;3341.82
ES1915209931764206681322;1619.27
ES7744856326943449064203;1338.38
ES6000491500051234567892;1902.77
ES2783097662510123507583;482.02
ES2658457036254975525758;1487.98
ES5773080423306350913529;3083.16
ES4065919740381556721783;3515.82
ES3542481685541769075492;1413.7
ES1000492352082414205416;1447.54
ES6541048338612139135687;528.43
ES8478551013190308155822;409.31
ES7909335560528303082335;447.27
ES3636145657471415292161;109.74
ES9420805801101234567891;549.01
ES6222876109410961898583;867.14
ES0447532119018655382430;176.95
ES9420805801101234567891;933.08
ES8478551013190308155822;3482.87
ES8478551013190308155822;2.84
ES1961777240584850916286;3260.94
ES4065919740381556721783;1710.77
ES6541048338612139135687;46.65
ES1915209931764206681322;265.37
ES4065919740381556721783;598.43
ES2658457036254975525758;90.99
ES9166280840164982059855;817.26
ES1961777240584850916286;2965.5
ES8478551013190308155822;1433.53
ES3542481685541769075492;2076.22
ES9680182384560333326468;248.91
ES5773080423306350913529;79.08
ES9680182384560333326468;2102.72
ES7143362552398206142131;763.75
ES9166280840164982059855;2489.18
ES9734594238987441140947;712.79
